Category,Date,Time,All_Time,Time_1,Time_2,Time_3,All_Amp,Amp_1,Amp_2,Amp_3,pre
7,1080327,1145,12,4,3,5,451,240,106,317,3
3,1080327,1245,9,3,5,1,317,106,317,113,7
10,1080328,945,8,5,1,2,326,317,113,122,3
3,1080328,1145,5,1,2,2,163,113,122,163,10
1,1080331,1045,8,2,2,4,223,122,163,223,3
5,1080331,1245,8,2,4,2,223,163,223,102,1
7,1080331,1345,7,4,2,1,223,223,102,86,5
8,1080401,945,4,2,1,1,144,102,86,128,7
2,1080401,1345,6,1,1,4,275,86,128,275,8
5,1080402,1345,10,1,4,5,298,128,275,298,2
1,1080403,945,10,4,5,1,298,275,298,91,5
6,1080403,1045,7,5,1,1,298,298,91,88,1
4,1080403,1145,3,1,1,1,91,91,88,76,6
8,1080407,1345,9,1,1,7,216,88,76,204,4
2,1080408,945,9,1,7,1,204,76,204,113,8
9,1080408,1145,10,7,1,2,204,204,113,75,2
4,1080408,1345,5,1,2,2,113,113,75,72,9
8,1080409,1145,7,2,2,3,150,75,72,147,4
2,1080409,1345,7,2,3,2,192,72,147,192,8
5,1080411,1245,14,3,2,9,346,147,192,346,2
1,1080414,945,13,2,9,2,346,192,346,122,5
9,1080414,1045,12,9,2,1,346,346,122,98,1
4,1080414,1245,5,2,1,2,132,122,98,108,9
3,1080415,1045,6,1,2,3,129,98,108,129,4
1,1080415,1145,6,2,3,1,129,108,129,64,3
6,1080417,945,12,3,1,8,342,129,64,277,1
2,1080417,1045,10,1,8,1,277,64,277,85,6
9,1080417,1145,10,8,1,1,277,277,85,71,2
4,1080417,1345,4,1,1,2,106,85,71,92,9
3,1080418,945,4,1,2,1,92,71,92,50,4
7,1080418,1245,6,2,1,3,131,92,50,89,3
3,1080421,945,6,1,3,2,175,50,89,175,7
1,1080422,1045,11,3,2,6,197,89,175,197,3
5,1080423,1145,14,2,6,6,197,175,197,116,1
7,1080424,945,15,6,6,3,219,197,116,138,5
3,1080424,1045,10,6,3,1,138,116,138,90,7
7,1080424,1245,6,3,1,2,138,138,90,85,3
8,1080425,1045,6,1,2,3,113,90,85,108,7
2,1080425,1145,6,2,3,1,118,85,108,118,8
5,1080425,1245,5,3,1,1,118,108,118,50,2
7,1080425,1345,3,1,1,1,118,118,50,42,5
8,1080428,945,3,1,1,1,78,50,42,70,7
2,1080428,1045,3,1,1,1,70,42,70,55,8
6,1080429,945,6,1,1,4,142,70,55,127,2
2,1080429,1245,8,1,4,3,228,55,127,228,6
5,1080430,1245,12,4,3,5,228,127,228,114,2
7,1080430,1345,9,3,5,1,228,228,114,84,5
8,1080502,945,7,5,1,1,168,114,84,138,7
2,1080502,1145,4,1,1,2,138,84,138,104,8
6,1080505,945,6,1,2,3,138,138,104,89,2
4,1080505,1345,9,2,3,4,218,104,89,203,6
3,1080506,945,8,3,4,1,203,89,203,58,4
10,1080506,1045,6,4,1,1,245,203,58,100,3
3,1080507,1145,8,1,1,6,196,58,100,196,10
1,1080508,945,10,1,6,3,196,100,196,141,3
6,1080508,1045,10,6,3,1,196,196,141,50,1
4,1080508,1245,6,3,1,2,176,141,50,85,6
3,1080508,1345,4,1,2,1,103,50,85,103,4
1,1080509,1045,5,2,1,2,112,85,103,112,3
5,1080509,1245,5,1,2,2,112,103,112,77,1
7,1080512,945,6,2,2,2,147,112,77,112,5
3,1080512,1045,5,2,2,1,112,77,112,69,7
7,1080512,1145,4,2,1,1,112,112,69,61,3
8,1080514,945,11,1,1,9,332,69,61,324,7
2,1080514,1145,11,1,9,1,324,61,324,86,8
9,1080519,945,23,9,1,13,530,324,86,292,2
2,1080519,1045,15,1,13,1,292,86,292,51,9
9,1080520,945,18,13,1,4,386,292,51,145,2
2,1080521,1045,11,1,4,6,429,51,145,429,9
5,1080521,1145,11,4,6,1,429,145,429,130,2
10,1080522,945,10,6,1,3,523,429,130,224,5
3,1080523,945,9,1,3,5,224,130,224,162,10
7,1080523,1145,10,3,5,2,244,224,162,182,3
3,1080523,1245,8,5,2,1,182,162,182,100,7
7,1080526,1045,6,2,1,3,335,182,100,253,3
3,1080526,1245,6,1,3,2,253,100,253,93,7
10,1080526,1345,6,3,2,1,256,253,93,96,3
3,1080527,1145,6,2,1,3,96,93,96,80,10
7,1080527,1245,5,1,3,1,96,96,80,63,3
8,1080528,945,6,3,1,2,106,80,63,89,7
2,1080528,1045,4,1,2,1,100,63,89,100,8
5,1080528,1145,4,2,1,1,100,89,100,90,2
7,1080528,1345,4,1,1,2,170,100,90,160,5
3,1080529,945,4,1,2,1,160,90,160,146,7
7,1080529,1245,6,2,1,3,160,160,146,121,3
8,1080530,945,6,1,3,2,155,146,121,130,7
2,1080530,1145,7,3,2,2,244,121,130,244,8
5,1080602,1045,8,2,2,4,244,130,244,159,2
7,1080602,1245,8,2,4,2,244,244,159,85,5
8,1080602,1345,7,4,2,1,173,159,85,99,7
2,1080603,1045,5,2,1,2,131,85,99,131,8
5,1080603,1145,4,1,2,1,131,99,131,45,2
7,1080603,1245,4,2,1,1,199,131,45,113,5
3,1080604,1245,7,1,1,5,113,45,113,109,7
7,1080605,1045,9,1,5,3,151,113,109,147,3
3,1080606,945,12,5,3,4,326,109,147,326,7
1,1080609,945,12,3,4,5,326,147,326,306,3
6,1080610,945,14,4,5,5,326,326,306,73,1
4,1080611,1045,16,5,5,6,507,306,73,274,6
3,1080611,1145,12,5,6,1,274,73,274,113,4
10,1080612,1045,11,6,1,4,492,274,113,331,3
3,1080612,1145,6,1,4,1,331,113,331,76,10
10,1080612,1345,7,4,1,2,405,331,76,150,3
3,1080616,1145,11,1,2,8,192,76,150,192,10
1,1080617,1145,15,2,8,5,192,150,192,174,3
6,1080618,1245,19,8,5,6,260,192,174,242,1
2,1080619,945,13,5,6,2,369,174,242,369,6
5,1080619,1145,10,6,2,2,369,242,369,61,2
10,1080620,945,7,2,2,3,424,369,61,116,5
3,1080620,1045,6,2,3,1,116,61,116,102,10
7,1080623,945,8,3,1,4,321,116,102,307,3
3,1080623,1345,9,1,4,4,307,102,307,175,7
10,1080625,1045,15,4,4,7,332,307,175,200,3
3,1080625,1145,12,4,7,1,200,175,200,134,10
7,1080625,1245,9,7,1,1,200,200,134,66,3
8,1080626,1145,6,1,1,4,193,134,66,125,7
2,1080627,1045,9,1,4,4,457,66,125,457,8
5,1080627,1245,10,4,4,2,457,125,457,119,2
10,1080627,1345,7,4,2,1,457,457,119,92,5
8,1080630,945,4,2,1,1,149,119,92,122,10
2,1080630,1145,4,1,1,2,122,92,122,90,8
6,1080630,1245,4,1,2,1,122,122,90,60,2
4,1080630,1345,4,2,1,1,108,90,60,78,6
3,1080701,945,3,1,1,1,95,60,78,95,4
1,1080703,945,12,1,1,10,422,78,95,422,3
5,1080703,1345,15,1,10,4,422,95,422,322,1
10,1080707,945,20,10,4,6,422,422,322,302,5
8,1080707,1345,14,4,6,4,322,322,302,204,10
4,1080708,1345,15,6,4,5,485,302,204,387,8
3,1080709,1045,11,4,5,2,387,204,387,293,4
7,1080710,1045,12,5,2,5,387,387,293,292,3
8,1080710,1245,9,2,5,2,293,293,292,223,7
4,1080711,945,9,5,2,2,292,292,223,153,8
8,1080711,1045,5,2,2,1,223,223,153,125,4
4,1080711,1145,4,2,1,1,153,153,125,94,8
8,1080714,1045,6,1,1,4,275,125,94,244,4
2,1080715,1145,11,1,4,6,494,94,244,494,8
5,1080715,1245,11,4,6,1,494,244,494,162,2
10,1080716,1045,10,6,1,3,530,494,162,198,5
3,1080716,1145,5,1,3,1,198,162,198,120,10
7,1080716,1345,6,3,1,2,229,198,120,151,3
3,1080717,1045,5,1,2,2,151,120,151,98,7
7,1080717,1145,5,2,2,1,151,151,98,45,3
8,1080718,1045,7,2,1,4,211,98,45,158,7
2,1080718,1345,8,1,4,3,289,45,158,289,8
5,1080721,1345,12,4,3,5,421,158,289,421,2
1,1080722,1045,10,3,5,2,421,289,421,134,5
6,1080722,1145,8,5,2,1,421,421,134,124,1
4,1080722,1245,4,2,1,1,134,134,124,105,6
8,1080724,1345,13,1,1,11,420,124,105,401,4
2,1080725,1245,16,1,11,4,401,105,401,224,8
9,1080725,1345,16,11,4,1,401,401,224,89,2
4,1080729,1045,7,4,1,2,440,224,89,305,9
3,1080730,945,7,1,2,4,305,89,305,219,4
7,1080730,1045,7,2,4,1,305,305,219,119,3
8,1080730,1245,7,4,1,2,219,219,119,92,7
4,1080730,1345,4,1,2,1,119,119,92,70,8
8,1080731,945,4,2,1,1,181,92,70,159,4
2,1080731,1245,5,1,1,3,257,70,159,257,8
5,1080731,1345,5,1,3,1,257,159,257,119,2
7,1080801,945,5,3,1,1,296,257,119,158,5
3,1080801,1245,5,1,1,3,158,119,158,118,7
7,1080804,945,6,1,3,2,159,158,118,119,3
3,1080804,1045,6,3,2,1,119,118,119,114,7
7,1080804,1145,4,2,1,1,119,119,114,74,3
8,1080805,945,5,1,1,3,143,114,74,103,7
2,1080805,1045,5,1,3,1,237,74,103,237,8
5,1080805,1245,6,3,1,2,237,103,237,91,2
10,1080805,1345,4,1,2,1,237,237,91,72,5
8,1080806,945,4,2,1,1,221,91,72,202,10
2,1080806,1145,4,1,1,2,202,72,202,60,8
9,1080807,1045,7,1,2,4,280,202,60,138,2
2,1080807,1245,8,2,4,2,138,60,138,95,9
6,1080811,945,13,4,2,7,401,138,95,358,2
2,1080811,1045,10,2,7,1,358,95,358,68,6
9,1080811,1345,11,7,1,3,379,358,68,89,2
2,1080812,1145,7,1,3,3,89,68,89,84,9
6,1080812,1245,7,3,3,1,89,89,84,78,2
4,1080813,1145,8,3,1,4,149,84,78,143,6
3,1080813,1345,7,1,4,2,143,78,143,110,4
7,1080814,1045,8,4,2,2,143,143,110,70,3
8,1080815,945,8,2,2,4,192,110,70,152,7
2,1080815,1045,7,2,4,1,152,70,152,77,8
9,1080815,1245,7,4,1,2,152,152,77,58,2
4,1080819,945,10,1,2,7,569,77,58,550,9
3,1080819,1145,11,2,7,2,550,58,550,165,4
10,1080819,1245,10,7,2,1,550,550,165,88,3
8,1080819,1345,4,2,1,1,165,165,88,73,10
4,1080820,1045,4,1,1,2,105,88,73,90,8
3,1080820,1245,5,1,2,2,179,73,90,179,4
1,1080821,1045,7,2,2,3,179,90,179,179,3
6,1080821,1145,6,2,3,1,179,179,179,55,1
4,1080821,1245,5,3,1,1,197,179,55,73,6
3,1080822,945,4,1,1,2,120,55,73,120,4
1,1080822,1145,5,1,2,2,209,73,120,209,3
5,1080825,945,7,2,2,3,209,120,209,193,1
7,1080825,1045,6,2,3,1,209,209,193,63,5
8,1080825,1245,6,3,1,2,271,193,63,141,7
2,1080826,945,5,1,2,2,152,63,141,152,8
5,1080827,1145,11,2,2,7,235,141,152,235,2
1,1080828,1345,16,2,7,7,235,152,235,86,5
6,1080829,945,15,7,7,1,253,235,86,104,1
2,1080829,1145,10,7,1,2,127,86,104,127,6
5,1080829,1345,5,1,2,2,127,104,127,52,2
7,1080902,1245,13,2,2,9,486,127,52,411,5
3,1080903,945,13,2,9,2,411,52,411,104,7
10,1080905,945,21,9,2,10,860,411,104,553,3
3,1080905,1245,15,2,10,3,553,104,553,107,10
10,1080905,1345,14,10,3,1,553,553,107,72,3
8,1080908,1045,9,3,1,5,474,107,72,439,10
2,1080909,1245,10,1,5,4,439,72,439,287,8
9,1080910,945,11,5,4,2,439,439,287,126,2
4,1080911,1145,13,4,2,7,474,287,126,313,9
3,1080912,945,12,2,7,3,313,126,313,166,4
10,1080912,1045,11,7,3,1,363,313,166,216,3
3,1080912,1345,7,3,1,3,216,166,216,192,10
7,1080916,1045,11,1,3,7,674,216,192,650,3
3,1080916,1245,12,3,7,2,650,192,650,100,7
10,1080916,1345,10,7,2,1,666,650,100,116,3
3,1080917,945,4,2,1,1,320,100,116,320,10
1,1080918,1045,8,1,1,6,583,116,320,583,3
5,1080922,945,16,1,6,9,706,320,583,706,1
1,1080922,1045,16,6,9,1,706,583,706,166,5
6,1080922,1345,13,9,1,3,706,706,166,133,1
4,1080923,945,5,1,3,1,166,166,133,94,6
8,1080923,1345,8,3,1,4,194,133,94,155,4
2,1080924,945,6,1,4,1,155,94,155,75,8
6,1080924,1245,8,4,1,3,200,155,75,120,2
2,1080925,945,6,1,3,2,234,75,120,234,6
5,1080925,1145,7,3,2,2,234,120,234,198,2
7,1080930,1145,14,2,2,10,736,234,198,700,5
3,1081001,945,15,2,10,3,700,198,700,259,7
10,1081001,1245,16,10,3,3,700,700,259,93,3
8,1081002,945,8,3,3,2,280,259,93,114,10
2,1081003,945,10,3,2,5,249,93,114,249,8
5,1081003,1345,11,2,5,4,249,114,249,195,2
7,1081006,1045,11,5,4,2,342,249,195,288,5
3,1081006,1145,7,4,2,1,288,195,288,87,7
10,1081007,945,6,2,1,3,463,288,87,262,3
3,1081007,1345,8,1,3,4,263,87,262,263,10
1,1081008,1345,12,3,4,5,420,262,263,420,3
5,1081009,1145,12,4,5,3,420,263,420,189,1
7,1081013,945,11,5,3,3,600,420,189,369,5
3,1081015,945,16,3,3,10,412,189,369,412,7
1,1081015,1045,14,3,10,1,412,369,412,144,3
6,1081015,1145,12,10,1,1,412,412,144,72,1
4,1081015,1245,3,1,1,1,144,144,72,52,6
8,1081015,1345,3,1,1,1,96,72,52,76,4
2,1081017,945,8,1,1,6,438,52,76,438,8
5,1081017,1145,9,1,6,2,438,76,438,73,2
10,1081020,945,12,6,2,4,613,438,73,248,5
3,1081021,945,10,2,4,4,314,73,248,314,10
1,1081021,1245,11,4,4,3,314,248,314,215,3
6,1081021,1345,8,4,3,1,314,314,215,109,1
4,1081022,945,5,3,1,1,255,215,109,149,6
3,1081022,1045,3,1,1,1,160,109,149,160,4
1,1081028,945,21,1,1,19,1044,149,160,1044,3
5,1081029,945,25,1,19,5,1044,160,1044,807,1
10,1081029,1345,28,19,5,4,1044,1044,807,406,5
8,1081103,1345,24,5,4,15,1183,807,406,782,10
2,1081104,1045,21,4,15,2,782,406,782,158,8
9,1081105,945,21,15,2,4,888,782,158,264,2
2,1081107,945,16,2,4,10,828,158,264,828,9
5,1081110,945,19,4,10,5,828,264,828,420,2
10,1081110,1145,17,10,5,2,828,828,420,117,5
8,1081110,1345,9,5,2,2,420,420,117,80,10
4,1081111,945,5,2,2,1,227,117,80,190,8
3,1081111,1245,6,2,1,3,190,80,190,180,4
7,1081111,1345,5,1,3,1,190,190,180,172,3
8,1081112,1045,6,3,1,2,180,180,172,123,7
4,1081112,1245,5,1,2,2,225,172,123,176,8
3,1081112,1345,5,2,2,1,176,123,176,130,4
7,1081113,1345,8,2,1,5,390,176,130,344,3
3,1081114,945,7,1,5,1,344,130,344,308,7
7,1081117,945,11,5,1,5,344,344,308,251,3
8,1081117,1245,9,1,5,3,308,308,251,169,7
4,1081119,1145,17,5,3,9,331,251,169,249,8
3,1081119,1345,14,3,9,2,249,169,249,97,4
7,1081120,945,12,9,2,1,480,249,97,328,3
3,1081120,1045,4,2,1,1,328,97,328,75,7
10,1081121,945,6,1,1,4,465,328,75,212,3
3,1081121,1245,8,1,4,3,314,75,212,314,10
1,1081124,1145,11,4,3,4,314,212,314,157,3
6,1081125,1045,11,3,4,4,470,314,157,313,1
2,1081125,1345,11,4,4,3,313,157,313,173,6
6,1081126,1045,9,4,3,2,313,313,173,156,2
4,1081126,1245,7,3,2,2,173,173,156,83,6
8,1081127,1345,10,2,2,6,376,156,83,303,4
2,1081128,945,9,2,6,1,303,83,303,100,8
9,1081128,1045,8,6,1,1,303,303,100,75,2
4,1081128,1245,4,1,1,2,100,100,75,57,9
8,1081128,1345,4,1,2,1,77,75,57,59,4
2,1081201,945,4,2,1,1,76,57,59,76,8
5,1081201,1245,5,1,1,3,191,59,76,191,2
1,1081202,945,6,1,3,2,312,76,191,312,5
5,1081202,1045,6,3,2,1,312,191,312,56,1
10,1081202,1245,5,2,1,2,374,312,56,118,5
3,1081203,945,5,1,2,2,118,56,118,100,10
7,1081203,1345,8,2,2,4,138,118,100,120,3
3,1081204,1045,8,2,4,2,120,100,120,98,7
7,1081204,1345,9,4,2,3,206,120,98,184,3
3,1081205,1145,8,2,3,3,184,98,184,102,7
7,1081205,1245,7,3,3,1,184,184,102,99,3
8,1081209,1145,13,3,1,9,446,102,99,443,7
2,1081209,1245,11,1,9,1,443,99,443,114,8
9,1081210,1345,16,9,1,6,621,443,114,292,2
2,1081211,945,8,1,6,1,292,114,292,99,9
9,1081211,1145,9,6,1,2,292,292,99,79,2
4,1081212,945,6,1,2,3,162,99,79,142,9
3,1081212,1045,6,2,3,1,142,79,142,81,4
7,1081212,1245,6,3,1,2,361,142,81,300,3
3,1081215,945,5,1,2,2,375,81,300,375,7
1,1081215,1145,6,2,2,2,375,300,375,165,3
6,1081215,1345,6,2,2,2,375,375,165,92,1
4,1081216,945,5,2,2,1,197,165,92,124,6
3,1081217,1045,9,2,1,6,213,92,124,213,4
1,1081217,1245,9,1,6,2,213,124,213,112,3
6,1081218,945,10,6,2,2,213,213,112,61,1
4,1081218,1045,5,2,2,1,138,112,61,87,6
3,1081218,1345,6,2,1,3,109,61,87,109,4
1,1081219,1045,6,1,3,2,123,87,109,123,3
5,1081222,945,9,3,2,4,173,109,123,173,1
1,1081223,1145,13,2,4,7,465,123,173,465,5
5,1081223,1345,13,4,7,2,465,173,465,88,1
10,1081224,945,10,7,2,1,514,465,88,137,5
3,1081224,1345,7,2,1,4,158,88,137,158,10
1,1081225,945,6,1,4,1,158,137,158,69,3
6,1081225,1345,9,4,1,4,164,158,69,75,1
2,1081226,945,6,1,4,1,75,69,75,66,6
6,1081226,1045,6,4,1,1,115,75,66,106,2
2,1081229,1045,7,1,1,5,129,66,106,129,6
5,1081231,945,15,1,5,9,298,106,129,298,2
1,1081231,1245,17,5,9,3,298,129,298,129,5
9,1090105,945,14,9,3,2,481,298,129,312,1
2,1090105,1145,7,3,2,2,312,129,312,163,9
9,1090106,1045,9,2,2,5,312,312,163,101,2
4,1090106,1245,8,2,5,1,163,163,101,97,9
8,1090107,945,8,5,1,2,168,101,97,164,4
2,1090107,1045,4,1,2,1,164,97,164,91,8
6,1090107,1345,6,2,1,3,164,164,91,55,2
4,1090109,945,10,1,3,6,397,91,55,361,6
3,1090109,1045,10,3,6,1,361,55,361,83,4
10,1090109,1145,8,6,1,1,361,361,83,52,3
8,1090109,1245,3,1,1,1,90,83,52,59,10
2,1090110,945,4,1,1,2,151,52,59,151,8
5,1090110,1045,4,1,2,1,151,59,151,81,2
10,1090110,1245,5,2,1,2,151,151,81,70,5
8,1090112,945,5,1,2,2,128,81,70,117,10
2,1090112,1145,6,2,2,2,122,70,117,122,8
5,1090112,1345,6,2,2,2,122,117,122,84,2
7,1090113,945,5,2,2,1,122,122,84,74,5
8,1090114,1145,10,2,1,7,202,84,74,192,7
2,1090114,1245,9,1,7,1,192,74,192,74,8
9,1090114,1345,9,7,1,1,192,192,74,44,2
4,1090115,945,3,1,1,1,330,74,44,300,9
3,1090116,945,7,1,1,5,300,44,300,97,4
10,1090116,1145,8,1,5,2,300,300,97,69,3
8,1090117,945,10,5,2,3,123,97,69,95,10
2,1090117,1045,6,2,3,1,95,69,95,39,8
6,1090119,945,8,3,1,4,144,95,39,88,2
2,1090119,1245,8,1,4,3,88,39,88,69,6
6,1090119,1345,8,4,3,1,88,88,69,36,2
4,1090120,945,5,3,1,1,189,69,36,156,6
3,1090120,1345,6,1,1,4,156,36,156,44,4
10,1090121,945,6,1,4,1,248,156,44,136,3
3,1090121,1345,9,4,1,4,152,44,136,152,10
1,1090202,945,6,1,4,1,159,136,152,159,3
5,1090202,1145,7,4,1,2,159,152,159,89,1
7,1090202,1345,5,1,2,2,159,159,89,46,5
8,1090203,1145,7,2,2,3,222,89,46,179,7
2,1090203,1345,7,2,3,2,179,46,179,56,8
9,1090204,945,6,3,2,1,201,179,56,78,2
2,1090204,1145,5,2,1,2,78,56,78,65,9
6,1090204,1245,4,1,2,1,103,78,65,90,2
2,1090205,1045,6,2,1,3,90,65,90,89,6
6,1090205,1245,6,1,3,2,104,90,89,103,2
2,1090205,1345,6,3,2,1,120,89,103,120,6
5,1090206,1145,6,2,1,3,210,103,120,210,2
1,1090206,1345,6,1,3,2,210,120,210,83,5
9,1090209,945,6,3,2,1,253,210,83,126,1
2,1090209,1345,7,2,1,4,126,83,126,97,9
6,1090210,1145,8,1,4,3,126,126,97,69,2
4,1090210,1245,8,4,3,1,97,97,69,36,6
8,1090210,1345,5,3,1,1,74,69,36,41,4
2,1090211,945,3,1,1,1,127,36,41,127,8
5,1090211,1345,6,1,1,4,206,41,127,206,2
1,1090212,1145,8,1,4,3,206,127,206,180,5
6,1090213,1345,14,4,3,7,218,206,180,192,1
2,1090216,945,11,3,7,1,192,180,192,48,6
6,1090216,1045,9,7,1,1,192,192,48,46,2
4,1090216,1145,3,1,1,1,56,48,46,54,6
3,1090216,1345,4,1,1,2,54,46,54,52,4
7,1090217,1045,5,1,2,2,151,54,52,149,3
3,1090217,1345,7,2,2,3,149,52,149,57,7
10,1090218,945,6,2,3,1,160,149,57,68,3
3,1090218,1345,8,3,1,4,93,57,68,93,10
1,1090219,945,6,1,4,1,185,68,93,185,3
5,1090219,1245,8,4,1,3,190,93,185,190,1
1,1090220,1045,7,1,3,3,190,185,190,162,5
6,1090220,1145,7,3,3,1,190,190,162,91,1
4,1090223,945,7,3,1,3,228,162,91,157,6
3,1090223,1145,6,1,3,2,157,91,157,137,4
7,1090224,945,8,3,2,3,157,157,137,120,3
8,1090225,1145,12,2,3,7,224,137,120,207,7
2,1090225,1245,11,3,7,1,207,120,207,112,8
6,1090226,945,10,7,1,2,225,207,112,130,2
2,1090226,1345,7,1,2,4,130,112,130,98,6
6,1090227,1345,11,2,4,5,130,130,98,88,2
4,1090302,1245,13,4,5,4,235,98,88,225,6
3,1090302,1345,10,5,4,1,225,88,225,41,4
10,1090303,945,6,4,1,1,290,225,41,106,3
3,1090303,1345,6,1,1,4,139,41,106,139,10
1,1090304,945,6,1,4,1,139,106,139,55,3
6,1090305,945,10,4,1,5,408,139,55,324,1
2,1090305,1145,8,1,5,2,324,55,324,103,6
9,1090305,1345,9,5,2,2,324,324,103,71,2
4,1090306,945,5,2,2,1,106,103,71,74,9
3,1090306,1045,4,2,1,1,89,71,74,89,4
1,1090306,1145,3,1,1,1,89,74,89,67,3
6,1090309,945,5,1,1,3,135,89,67,113,1
2,1090309,1245,7,1,3,3,130,67,113,130,6
5,1090311,945,13,3,3,7,240,113,130,240,2
1,1090312,1045,16,3,7,6,240,130,240,47,5
9,1090312,1145,14,7,6,1,240,240,47,41,1
4,1090312,1245,8,6,1,1,61,47,41,55,9
3,1090313,1245,7,1,1,5,218,41,55,218,4
1,1090313,1345,7,1,5,1,218,55,218,64,3
9,1090316,1145,9,5,1,3,261,218,64,107,1
2,1090316,1245,5,1,3,1,107,64,107,45,9
6,1090318,1145,13,3,1,9,218,107,45,156,2
2,1090318,1245,11,1,9,1,156,45,156,72,6
9,1090319,1245,15,9,1,5,165,156,72,81,2
2,1090320,1145,10,1,5,4,183,72,81,183,9
5,1090320,1245,10,5,4,1,183,81,183,61,2
10,1090320,1345,6,4,1,1,183,183,61,57,5
8,1090324,945,8,1,1,6,348,61,57,344,10
2,1090324,1045,8,1,6,1,344,57,344,82,8
9,1090326,1045,17,6,1,10,508,344,82,246,2
2,1090326,1145,12,1,10,1,246,82,246,117,9
9,1090326,1245,12,10,1,1,246,246,117,98,2
4,1090326,1345,3,1,1,1,117,117,98,60,9
